community_id,total_doctors_in_community,total_orgs_in_community,total_shared_doctors_in_community,zip,cty,st,lat,long
33,2496,63,233,89106,LAS VEGAS,NV,36.184219,-115.16292
34,4353,102,361,01757,MILFORD,MA,42.149176,-71.52149
35,2051,80,277,44281,WADSWORTH,OH,41.037664,-81.73368
36,2820,127,284,73120,OKLAHOMA CITY,OK,35.579488,-97.56496
37,1801,43,170,46123,AVON,IN,39.764436,-86.39699
38,6991,81,456,44281,WADSWORTH,OH,41.037664,-81.73368
39,1894,26,320,99508,ANCHORAGE,AK,61.203953,-149.8144
40,7534,122,422,60540,NAPERVILLE,IL,41.764779,-88.14579
41,4484,81,360,20705,BELTSVILLE,MD,39.044509,-76.9133
42,5014,138,385,61704,BLOOMINGTON,IL,40.459584,-88.96939
43,1767,67,138,61010,BYRON,IL,42.131245,-89.26637
44,1444,72,203,81212,CANON CITY,CO,38.464212,-105.27973
45,2091,85,217,60202,EVANSTON,IL,42.030327,-87.68828
46,442,59,62,95687,VACAVILLE,CA,38.34401,-121.95333
47,2665,52,101,76528,GATESVILLE,TX,31.43211,-97.72602
48,1688,66,273,21122,PASADENA,MD,39.125776,-76.51863
49,5292,129,535,21061,GLEN BURNIE,MD,39.164158,-76.6306
50,3532,42,300,55102,SAINT PAUL,MN,44.935315,-93.12049
51,4055,51,297,55429,BROOKLYN CENTER,MN,45.064714,-93.34155
52,153,5,56,55104,SAINT PAUL,MN,44.953665,-93.15922
53,3306,49,661,55116,SAINT PAUL,MN,44.913815,-93.17459
54,740,48,110,11355,FLUSHING,NY,40.749463,-73.81941
55,3558,82,523,33486,BOCA RATON,FL,26.344955,-80.11226
56,4965,125,396,19046,MEADOWBROOK,PA,40.09811,-75.10949
57,1455,48,150,19107,PHILADELPHIA,PA,39.952112,-75.15853
58,2534,133,310,39501,GULFPORT,MS,30.380597,-89.09626
59,1459,63,134,39532,BILOXI,MS,30.462388,-88.93293
60,2838,65,249,28791,HENDERSONVILLE,NC,35.345487,-82.49673
61,1980,145,282,90813,LONG BEACH,CA,33.781011,-118.19197
