source_npi,target_npi,sharedpats,community_id
8411898039,8232778165,2,15
8411898039,8454962534,4,
8411898039,8766768867,2,15
8411898039,8853885339,2,
8411898039,9011551271,5,
8411898039,9513237200,2,15
8411898039,9979265126,4,
0065485779,5384979213,2,16
0066576833,6743157602,4,17
6743157602,0066576833,3,17
6743157602,0118682021,2,17
6743157602,0225288584,2,17
6743157602,0615565968,2,17
6743157602,0920013814,2,17
6743157602,1214147024,2,17
6743157602,1246222985,2,17
6743157602,1256684163,2,
6743157602,1932600933,2,17
6743157602,2715160578,5,17
6743157602,2763639326,2,17
6743157602,2835367565,3,17
6743157602,3128396404,4,
6743157602,3747656594,2,
6743157602,4083986014,2,
6743157602,4085672518,9,17
6743157602,4234138286,2,
6743157602,4235099025,2,17
6743157602,4315939137,2,17
6743157602,4450832998,7,17
6743157602,4797710108,2,
6743157602,5013975447,2,17
6743157602,5195331021,4,17
6743157602,5283486435,3,
6743157602,5359523927,3,17
6743157602,5389434022,2,17
6743157602,5563232524,2,17
6743157602,5780937706,2,17
6743157602,6585316279,2,
6743157602,6933915999,2,17
6743157602,7234907498,2,17
6743157602,7692084543,3,
6743157602,7798181179,2,17
6743157602,7872369581,3,17
6743157602,8090450855,2,17
6743157602,8207899456,6,
6743157602,8311687785,2,17
6743157602,8889650822,3,17
6743157602,8957777921,2,17
6743157602,9685434963,2,17
6743157602,9882462801,6,17
6743157602,9979265126,2,
0066883103,4345160771,2,18
4345160771,0244023800,3,
4345160771,0888901330,3,
4345160771,1103554266,2,
4345160771,1112729228,2,
4345160771,1117051864,2,
4345160771,1171984738,2,18
4345160771,1256684163,2,
4345160771,2726399145,2,18
4345160771,2866295111,2,
4345160771,2937347257,2,
4345160771,3517371403,5,
4345160771,3561215500,2,18
4345160771,3981829636,6,
4345160771,4377394241,2,18
4345160771,4379913250,2,18
4345160771,4824842417,2,
4345160771,5238088665,2,18
4345160771,5273125132,2,
4345160771,5455180488,2,18
4345160771,5580231312,2,
4345160771,6052903246,3,
4345160771,6688092591,2,
4345160771,7911332267,2,18
0067186570,1033456526,3,19
0067186570,3939643075,2,19
0067186570,4292249569,2,19
0067186570,4316764103,2,19
0067186570,5907235013,2,19
0067186570,8208965993,3,19
1033456526,0067186570,4,19
1033456526,0190950031,3,19
1033456526,0400432665,4,19
1033456526,0567465136,2,19
1033456526,0650008768,5,19
1033456526,0652296986,3,19
1033456526,0676719924,3,19
1033456526,1019338398,6,19
1033456526,1060908847,2,19
1033456526,1275295658,2,19
1033456526,1719449522,2,19
1033456526,2057398973,2,19
1033456526,2125844872,2,19
1033456526,2204401778,2,19
1033456526,2639422730,2,19
1033456526,2689606218,6,19
1033456526,2736603707,2,19
1033456526,2976023127,7,19
1033456526,3265059745,3,
1033456526,3444959201,2,
1033456526,3949382032,2,19
1033456526,4199341016,5,19
1033456526,4202208316,2,19
1033456526,4292249569,2,19
1033456526,4316764103,3,19
1033456526,5229911783,2,19
1033456526,5260998311,2,19
1033456526,5462261329,5,19
1033456526,5554544346,6,19
1033456526,6034231868,2,19
1033456526,6177688905,5,19
1033456526,6282582150,2,19
1033456526,7690855207,3,19
1033456526,8203084812,2,19
1033456526,8207899456,2,
1033456526,8208965993,7,19
1033456526,8385261542,2,19
1033456526,8822916381,2,19
1033456526,9812716291,2,19
3939643075,0650008768,2,19
3939643075,0995395696,5,19
3939643075,1033456526,4,19
3939643075,2976023127,2,19
3939643075,4292249569,2,19
3939643075,4511097662,2,19
3939643075,5907235013,3,19
3939643075,8208965993,4,19
4316764103,1033456526,2,19
4316764103,5554544346,3,19
5907235013,0995395696,2,19
5907235013,1033456526,2,19
5907235013,3939643075,2,19
8208965993,0067186570,2,19
8208965993,0190950031,2,19
8208965993,0273348149,2,19
8208965993,0650008768,4,19
8208965993,1033456526,10,19
8208965993,1766772303,2,19
8208965993,2689606218,2,19
8208965993,2976023127,4,19
8208965993,3971749210,6,19
8208965993,4199341016,3,19
8208965993,4316764103,2,19
8208965993,5554544346,5,19
8208965993,5907235013,2,19
8208965993,6177688905,3,19
8208965993,7912074791,2,19
8208965993,8083453344,2,19
0068738777,7692084543,3,20
7692084543,0068738777,2,20
7692084543,0865386227,2,20
7692084543,3678418115,2,20
7692084543,3685134837,2,20
7692084543,5734403746,2,
7692084543,6743157602,4,
7692084543,7919329031,2,
7692084543,8207899456,2,
0069846492,2866295111,2,21
2866295111,0329757128,4,
2866295111,0344675887,2,
2866295111,0479815821,8,
2866295111,0629339256,2,
2866295111,0803873716,2,21
2866295111,0888901330,3,
2866295111,0941734431,6,
2866295111,1052105939,6,
2866295111,1117051864,2,
2866295111,1634946094,2,
2866295111,1722732755,3,
2866295111,1735084705,2,
2866295111,2060197653,2,
2866295111,2247912112,2,21
2866295111,2918675273,3,
2866295111,3265059745,3,
2866295111,3346519048,4,
2866295111,3413094726,2,
2866295111,3552796390,6,
2866295111,3655638626,3,
2866295111,3951145086,2,
2866295111,4009661797,2,
2866295111,4332659805,3,
2866295111,4482363487,3,
2866295111,4611944539,2,21
2866295111,4693896982,2,21
2866295111,4715323715,2,21
2866295111,5032855400,2,
2866295111,5038386362,5,
2866295111,5111491524,2,
2866295111,5136750580,2,21
2866295111,5261502394,2,
2866295111,5347396351,2,
2866295111,5439286653,2,21
2866295111,5546775825,2,
2866295111,5554267915,8,
2866295111,5599521913,3,21
2866295111,5660809905,2,
2866295111,5730655270,2,
2866295111,5774766092,6,
2866295111,5872770182,2,
2866295111,6116278565,2,
2866295111,6191437535,2,21
2866295111,6585316279,7,
2866295111,6804338533,2,
2866295111,7058697667,2,
2866295111,7100883562,2,
2866295111,7132269719,11,
2866295111,7481398045,6,
2866295111,7601294972,2,21
2866295111,8207899456,6,
2866295111,8273938157,2,21
2866295111,8399822608,3,
2866295111,8468245746,2,
2866295111,9430538303,3,
2866295111,9486911142,4,21
2866295111,9899159506,2,21
2866295111,9900572834,4,
2866295111,9979265126,2,
0075173164,3552796390,2,4
0077487920,3971749210,2,19
3971749210,0190950031,2,19
3971749210,1019338398,3,19
3971749210,1033456526,3,19
3971749210,2976023127,4,19
3971749210,3265059745,2,
3971749210,5554544346,2,19
3971749210,6177688905,3,19
3971749210,8083453344,3,19
3971749210,8208965993,5,19
0081282607,5580231312,2,22
0081282607,9849840369,2,22
0085935327,3848572147,2,23
3848572147,0202259501,2,23
3848572147,0888901330,3,
3848572147,1293756413,3,23
3848572147,1627419782,4,23
3848572147,2052541087,3,
3848572147,5040521237,5,
3848572147,8207899456,4,
3848572147,9979265126,2,
0087038046,6804338533,2,24
6804338533,0667841202,2,24
6804338533,2038014197,3,24
6804338533,2352658921,2,24
6804338533,2711578851,2,24
6804338533,2866295111,2,
6804338533,2909134083,2,24
6804338533,3118032758,2,24
6804338533,4089683948,2,24
6804338533,4212491635,3,24
6804338533,4618297985,2,24
6804338533,4978073674,2,24
6804338533,5038386362,2,
6804338533,5409225763,2,24
6804338533,5487431741,2,24
6804338533,5691892088,2,24
6804338533,6116278565,2,
6804338533,7856553996,2,24
6804338533,8451341147,3,24
6804338533,8469954015,2,24
6804338533,9169541112,2,24
6804338533,9408506084,2,24
6804338533,9900572834,4,
6804338533,9993471125,2,24
0087185949,0598006882,2,25
0087185949,6925866187,2,25
0087185949,7296673630,2,25
6925866187,7601463108,2,25
6925866187,9124869298,2,25
0087270699,0020023859,2,26
0087270699,4054068645,2,26
4054068645,0431020968,3,26
4054068645,4332659805,3,26
4054068645,6067729823,2,26
4054068645,6098620540,2,26
0088391183,6692094908,2,27
6692094908,1314694621,2,27
6692094908,5038386362,2,27
6692094908,9701639999,2,27
6692094908,9843619223,2,
0095659648,9320147916,2,28
0096179517,0386395240,2,29
0386395240,0744660949,3,29
0386395240,1118085171,14,29
0386395240,1234025760,2,29
0386395240,1496836739,2,29
0386395240,1767323423,2,29
0386395240,5097540167,2,29
0386395240,5575033750,2,29
0386395240,7180650498,2,29
0386395240,8425289088,2,29
0097447177,2827371504,2,30
2827371504,0968791345,2,
2827371504,1973668724,2,30
2827371504,2890864733,4,
2827371504,5808883447,2,30
2827371504,6108583400,2,30
2827371504,7183629035,3,
2827371504,9092631208,2,30
2827371504,9156656040,2,
2827371504,9715940830,2,
0097562559,4468897019,2,
0097562559,5675994458,2,31
4468897019,0215381510,3,32
4468897019,0221840958,4,
4468897019,0875951778,2,32
4468897019,0941734431,2,
4468897019,1504077679,2,32
4468897019,1973668724,2,
4468897019,2052541087,2,
4468897019,2188113426,5,32
4468897019,2584638480,3,32
4468897019,2657297073,2,32
4468897019,3134566076,5,32
4468897019,3140603156,2,32
4468897019,3796478888,4,32
4468897019,4705892207,2,32
4468897019,5203499768,2,32
4468897019,5464894126,2,32
4468897019,6340805928,2,32
4468897019,7790633378,3,32
4468897019,7803675447,2,32
4468897019,9454495538,7,32
4468897019,9507371610,2,32
4468897019,9818556745,2,32
5675994458,2188113426,2,
5675994458,8709958036,2,31
0101630478,6585316279,2,33
6585316279,0097991247,2,33
6585316279,0221840958,2,
6585316279,0260178489,2,33
6585316279,0329757128,4,
6585316279,0888901330,6,
6585316279,0941734431,3,
6585316279,1052105939,4,
6585316279,1407193644,2,
6585316279,1500169510,2,
6585316279,1816946469,2,
6585316279,1935831612,2,
6585316279,1973668724,2,
6585316279,2052541087,4,
6585316279,2181317304,4,
6585316279,2503159927,4,
6585316279,2821513811,4,
6585316279,2866295111,2,
6585316279,3552796390,2,
6585316279,3805698563,2,33
6585316279,4314645889,2,
6585316279,4332659805,4,
6585316279,4468279185,2,33
6585316279,5038386362,2,
6585316279,5040521237,2,
6585316279,5554267915,3,
6585316279,6207630138,2,
6585316279,6743157602,2,
6585316279,6804338533,2,
6585316279,6955475791,5,
6585316279,7168180005,2,
6585316279,7961400834,3,
6585316279,8207899456,2,
6585316279,8399822608,2,
6585316279,8820048490,2,33
6585316279,9011551271,2,
6585316279,9241071403,2,
6585316279,9647966678,2,
6585316279,9979265126,6,
0101877251,5454439099,2,34
0103734089,9348559327,2,35
9348559327,0103734089,2,35
9348559327,3517371403,2,
9348559327,4412047315,2,35
9348559327,9632772076,2,35
0106681874,0629339256,2,36
0629339256,0597534250,3,36
0629339256,0748172119,4,36
0629339256,0800100235,2,36
0629339256,0864339192,2,36
0629339256,0972264000,2,36
0629339256,1374918279,2,36
0629339256,1597813834,2,36
0629339256,1674168455,2,36
0629339256,1949223467,3,36
0629339256,2845835072,2,36
0629339256,4345160771,2,
0629339256,5554267915,4,
0629339256,6320372776,4,36
0629339256,6850887991,2,36
0629339256,7038995682,2,36
0629339256,7456159268,2,36
0629339256,7486036143,2,36
0629339256,7744796987,2,36
0107446569,6743157602,2,17
0107817142,1066441024,2,37
1066441024,0124225426,2,37
1066441024,0138445380,3,37
1066441024,1117398893,6,37
1066441024,1213836181,3,37
1066441024,1864509239,3,37
1066441024,3236465399,4,37
1066441024,4068418389,2,37
1066441024,5779744780,2,37
1066441024,7518162996,6,37
1066441024,8142750136,2,37
0108694159,1973668724,2,30
1973668724,0136837568,2,
1973668724,0216786834,2,
1973668724,0221840958,18,
1973668724,0359745552,2,
1973668724,0415710984,2,
1973668724,0448346478,4,
1973668724,0559071093,2,
1973668724,0676719924,2,
1973668724,0888901330,12,
1973668724,1052105939,2,
1973668724,1059346688,2,30
1973668724,1370239440,2,
1973668724,1384815304,2,30
1973668724,1784158764,2,30
1973668724,1800695384,3,
1973668724,1935831612,3,
1973668724,2052541087,3,
1973668724,2197440929,2,30
1973668724,2444437208,2,30
1973668724,2692640443,2,30
1973668724,2827371504,8,30
1973668724,2890864733,13,
1973668724,2962952197,4,
1973668724,2976513464,2,
1973668724,3055531123,2,30
1973668724,3134566076,2,
1973668724,3149950608,4,
1973668724,3198317523,5,
1973668724,3246308347,8,
1973668724,3317158801,2,30
1973668724,3354202850,3,
1973668724,3507288989,3,
1973668724,3510608870,2,
1973668724,3523140868,2,30
1973668724,3541296121,3,
1973668724,3566010763,4,
1973668724,3655638626,3,
1973668724,3673176976,2,30
1973668724,3910216947,3,30
1973668724,4029684953,3,
1973668724,4109600505,2,30
1973668724,4204430111,2,
1973668724,4263005151,2,30
1973668724,4439841697,2,30
1973668724,4468897019,3,
1973668724,4500691180,6,
1973668724,4534081441,2,30
1973668724,4536433203,2,
1973668724,4736172866,2,30
1973668724,4741507817,3,
1973668724,4828669598,3,
1973668724,4849852912,2,
1973668724,5022503754,2,
1973668724,5059949846,2,30
1973668724,5133970833,2,
1973668724,5216124400,2,
1973668724,5261502394,4,
1973668724,5355325334,2,30
1973668724,5363289949,2,
1973668724,5364070048,3,
1973668724,5418709695,2,
1973668724,5634360939,3,
1973668724,5649918185,2,
1973668724,5675994458,2,
1973668724,5681792709,2,
1973668724,5763689244,2,
1973668724,5959271996,5,30
1973668724,5959833825,2,30
1973668724,6284417568,2,30
1973668724,6367392282,2,
1973668724,6468343528,2,30
1973668724,6479395980,3,
1973668724,6480198775,2,30
1973668724,6515601638,3,
1973668724,6784077806,2,30
1973668724,7031531928,2,30
1973668724,7169987916,6,
1973668724,7183629035,41,
1973668724,7305952132,2,
1973668724,7328400195,2,30
1973668724,7328765288,3,30
1973668724,7340303341,2,30
1973668724,7511772535,2,
1973668724,7583155290,2,30
1973668724,7672435085,2,
1973668724,7790633378,6,
1973668724,7805745395,2,30
1973668724,7961400834,5,
1973668724,8137134908,2,30
1973668724,8207899456,4,
1973668724,8414304567,4,
1973668724,8709958036,5,
1973668724,8730908887,2,
1973668724,8846445105,2,30
1973668724,8848044293,2,
1973668724,8958578830,2,30
1973668724,8993293320,3,30
1973668724,9092631208,4,30
1973668724,9103347504,2,30
1973668724,9156656040,2,
1973668724,9190546711,2,
1973668724,9194101583,2,
1973668724,9424750277,3,30
1973668724,9445444065,2,30
1973668724,9454495538,2,
1973668724,9514337940,2,
1973668724,9519250843,2,30
1973668724,9716408536,5,
1973668724,9973493078,2,
1973668724,9979265126,7,
0115925418,5145406259,2,38
0116718249,2766304106,2,39
2766304106,2825359079,2,39
2766304106,3458152592,2,39
0118350564,6585316279,2,33
0118682021,6235484735,2,17
0118682021,6743157602,3,17
0123395119,0371066127,2,40
0123829446,7073917010,2,41
0123829446,7132269719,2,41
7073917010,1033858396,2,41
7132269719,0166726937,2,
7132269719,0329757128,5,
7132269719,0382311437,2,41
7132269719,0384086245,2,41
7132269719,0465616333,2,41
7132269719,0786546534,2,41
7132269719,0794181824,3,41
7132269719,0800935952,2,41
7132269719,0941734431,5,
7132269719,1052105939,4,
7132269719,1134597175,3,
7132269719,1318531777,2,41
7132269719,1420917796,2,41
7132269719,1422634251,3,41
7132269719,1540628309,2,41
7132269719,1735084705,4,
7132269719,1797352592,2,41
7132269719,1816946469,5,
7132269719,1853416423,2,41
7132269719,1856009276,2,41
7132269719,2060197653,2,41
7132269719,2367191660,5,
7132269719,2442264660,2,41
7132269719,2475855445,2,41
7132269719,2687864323,2,41
7132269719,2866295111,8,
7132269719,2954834365,2,41
7132269719,3011484757,2,41
7132269719,3171783608,2,41
7132269719,3272100874,2,41
7132269719,3346519048,4,
7132269719,3596482320,2,41
7132269719,3653175371,2,
7132269719,3824208688,3,41
7132269719,3871070968,2,41
7132269719,3976481055,2,41
7132269719,4130710225,2,41
7132269719,4313230791,2,41
7132269719,4812936463,3,41
7132269719,4998970164,2,41
7132269719,5038386362,5,
7132269719,5075429815,2,41
7132269719,5259657220,2,
7132269719,5546775825,3,
7132269719,5554267915,4,
7132269719,5937150849,2,41
7132269719,5987420769,2,41
7132269719,6191437535,2,
7132269719,6207630138,2,
7132269719,6310883954,3,
7132269719,6585316279,3,
7132269719,7023717740,2,41
7132269719,7058697667,4,
7132269719,7492351223,2,41
7132269719,7523834783,2,41
7132269719,7587868155,5,
7132269719,7637037014,2,
7132269719,7854592263,2,41
7132269719,7865566740,2,41
7132269719,8207899456,7,
7132269719,8262509222,4,41
7132269719,8454962534,2,
7132269719,8698467005,2,
7132269719,8732184282,2,
7132269719,9016360690,2,
7132269719,9064117943,2,41
7132269719,9132809344,2,41
7132269719,9306672778,2,41
7132269719,9376365928,2,
7132269719,9430538303,2,41
7132269719,9549380665,2,41
7132269719,9687423537,2,41
0123873325,3806728350,3,42
3806728350,0223230273,2,42
3806728350,0302412179,2,42
3806728350,0888901330,2,
3806728350,0911646639,2,42
3806728350,0924116224,7,42
3806728350,1874961067,2,42
3806728350,1882944084,2,42
3806728350,1972884322,2,42
3806728350,2124734228,3,42
3806728350,2493475392,6,42
3806728350,2557764050,2,42
3806728350,2963419753,3,42
3806728350,3454836259,2,42
3806728350,3900416858,5,42
3806728350,3921474155,2,42
3806728350,3932927024,2,42
3806728350,3969073432,2,42
3806728350,4006570169,2,42
3806728350,4810858655,2,42
3806728350,4817714344,2,42
3806728350,4893383637,2,42
3806728350,4947143637,2,42
3806728350,5113015899,3,42
3806728350,5181808902,2,42
3806728350,5284451006,2,42
3806728350,6824982369,2,42
3806728350,7497531602,2,42
3806728350,7526638133,2,42
3806728350,7722531518,2,42
3806728350,7961400834,2,
3806728350,8551298946,2,42
3806728350,8551692430,2,42
3806728350,8939822394,2,42
3806728350,9312422163,2,42
3806728350,9356662164,3,42
3806728350,9707060749,2,42
3806728350,9882445269,2,42
0124450587,5512727669,2,7
0124450587,6518154147,2,7
0140192858,3517371403,2,43
3517371403,0103734089,2,
3517371403,0244023800,5,
3517371403,0523093641,2,43
3517371403,0620723623,3,
3517371403,0629339256,2,
3517371403,0676719924,2,
3517371403,0737457285,2,
3517371403,0888901330,7,
3517371403,1112729228,5,43
3517371403,1238458921,2,43
3517371403,1393632778,2,43
3517371403,2052541087,4,
3517371403,2517886866,2,
3517371403,2534553638,3,43
3517371403,3265059745,2,
3517371403,3346519048,3,
3517371403,3655638626,3,
3517371403,3865999823,2,43
3517371403,3913669602,3,43
3517371403,4334876935,2,
3517371403,4345160771,12,
3517371403,4712447093,10,
3517371403,4857606983,3,43
3517371403,5088571149,3,43
3517371403,5168881218,2,43
3517371403,5273125132,3,
3517371403,5494871486,7,
3517371403,5554267915,2,
3517371403,5706285683,2,43
3517371403,5734403746,3,
3517371403,5737116190,3,
3517371403,5805467090,2,43
3517371403,5857550863,2,43
3517371403,5976178732,2,43
3517371403,6052903246,3,
3517371403,6256656970,2,43
3517371403,6270477178,2,43
3517371403,6320372776,2,
3517371403,6541954575,2,43
3517371403,6758555288,2,43
3517371403,6984939643,2,43
3517371403,7058697667,2,
3517371403,7573799103,5,43
3517371403,7901642731,2,
3517371403,7917404736,2,43
3517371403,7955524854,2,
3517371403,7961400834,2,
3517371403,8035150588,4,43
3517371403,8207899456,2,
3517371403,8237370698,5,43
3517371403,8270155888,2,43
3517371403,8346516279,2,
3517371403,8522205482,5,
3517371403,8887659678,2,
3517371403,8988961846,2,43
3517371403,9021660619,3,
3517371403,9108361833,3,
3517371403,9247708548,4,
3517371403,9348559327,4,
3517371403,9696665424,2,43
3517371403,9979265126,3,
0141631486,4768495808,2,44
0142416568,8411898039,2,15
0145901614,7731819817,2,45
0146672484,8894197031,2,46
0152053847,1216443410,2,47
1216443410,0329757128,2,
1216443410,0797508732,2,47
1216443410,0941734431,4,
1216443410,0946839913,2,47
1216443410,3076680639,3,47
1216443410,3346519048,3,
1216443410,9762148833,2,
0152448914,0132566867,2,48
0152448914,4425133780,2,48
4425133780,0580566167,2,48
4425133780,2455162165,2,48
0153237851,5038386362,2,27
5038386362,0479815821,6,
5038386362,0716343392,2,27
5038386362,0888901330,2,
5038386362,0941734431,3,
5038386362,1052105939,4,
5038386362,2025404126,2,27
5038386362,2639271506,2,
5038386362,2866295111,5,
5038386362,3118893161,2,27
5038386362,3134566076,2,
5038386362,3265059745,2,
5038386362,3552796390,6,
5038386362,3553212654,2,
5038386362,3655638626,2,
5038386362,3896414439,2,
5038386362,5040521237,2,
5038386362,5150432998,2,
5038386362,5546775825,3,
5038386362,5554267915,2,
5038386362,5604770516,2,27
5038386362,5847193065,2,27
5038386362,6027867186,2,
5038386362,6502930399,3,
5038386362,6585316279,3,
5038386362,6804338533,2,
5038386362,7107713835,2,27
5038386362,7132269719,3,
5038386362,7456159268,2,
5038386362,7481398045,5,
5038386362,7587868155,2,
5038386362,8207899456,6,
5038386362,8399822608,3,
5038386362,8514067017,2,
5038386362,9095290749,2,
5038386362,9156290594,2,
5038386362,9217088910,2,27
5038386362,9390768422,2,27
5038386362,9701639999,2,27
5038386362,9900572834,4,
0162137630,3733829210,2,49
0162137630,4482363487,2,
0162137630,6027867186,2,49
0162137630,6928498058,2,49
3733829210,0250584036,5,49
3733829210,1323185717,3,49
3733829210,2150853459,2,49
3733829210,2199246172,4,49
3733829210,2484358033,3,49
3733829210,3552796390,2,
3733829210,5112705256,2,49
3733829210,8198589276,2,49
3733829210,9127235965,6,49
4482363487,0250584036,3,
4482363487,0479815821,2,
4482363487,1308731628,3,
4482363487,2199246172,2,
4482363487,3177196045,10,11
4482363487,3204358873,4,11
4482363487,3552796390,11,
4482363487,3655638626,2,
4482363487,3661887703,2,11
4482363487,3955837695,2,11
4482363487,4941160625,2,11
4482363487,5111491524,4,
4482363487,5312705563,2,11
4482363487,5546775825,2,
4482363487,5554267915,2,
