source_npi,target_npi,sharedpats,community_id
0250584036,3733829210,2,1
0329757128,8207899456,2,
0888901330,0941734431,2,
0888901330,7183629035,3,4
0941734431,0329757128,2,2
0941734431,0888901330,2,
1052105939,7132269719,2,5
1118085171,0386395240,2,6
1586461282,3052935797,2,7
1627419782,9979265126,2,8
1675753794,6757613558,2,9
1816946469,1052105939,2,5
1973668724,2827371504,2,10
1973668724,3566010763,2,10
1973668724,5959271996,2,10
2052541087,0888901330,2,
2052541087,9979265126,2,
2240153664,8207899456,2,3
2273755307,4423646859,2,12
2534553638,3517371403,2,13
3517371403,0244023800,2,13
3517371403,0888901330,2,
3077436761,6027867186,2,14
3177196045,8926674992,2,15
3287478207,8743612439,2,16
3552796390,6168250123,2,17
3552796390,7481398045,2,
7481398045,3552796390,2,
3553212654,0488127880,2,19
4234138286,6910009885,3,20
5111491524,7481398045,2,18
5260020794,3848572147,2,21
5554267915,5038386362,2,22
5554544346,1033456526,2,23
6016795167,6228549310,2,24
6743157602,4085672518,2,25
7689992118,8427535881,2,26
7747186276,2052541087,2,11
8411898039,2503159927,2,27
8975405682,0610030922,2,28
9387254202,5028041230,2,29
