npi,pagerank,indegree,outdegree,community_id,doctor_self_pats,total_pats_in_community,total_doctors_in_community,total_links_in_community
9872217564,9.609462042887897e-05,2.0,1.0,7,2,549,135,263
7132881137,5.4835346227487394e-05,0.0,1.0,351,3,5,2,1
7484389951,0.00010158597751938291,1.0,0.0,351,4,5,2,1
7132928574,5.4835346227487394e-05,0.0,1.0,20,2,279,61,167
7133316298,5.4835346227487394e-05,0.0,2.0,78,2,549,129,309
7143404626,5.4835346227487394e-05,0.0,1.0,87,4,271,18,18
5952708970,0.00013506120464548726,1.0,0.0,118,2,54,22,31
7154089131,5.4835346227487394e-05,0.0,1.0,65,2,491,113,385
7154576022,5.4835346227487394e-05,0.0,1.0,52,3,683,87,389
7157410442,5.4835346227487394e-05,0.0,2.0,352,2,6,3,3
4154413009,0.00014491772886484039,2.0,0.0,352,3,6,3,3
7302884518,7.821066187343515e-05,1.0,1.0,352,5,6,3,3
7161429527,0.00010158597751938291,1.0,1.0,25,6,348,105,268
4869401047,0.00015530032582737228,1.0,0.0,66,4,453,52,68
7173291098,5.4835346227487394e-05,0.0,1.0,353,8,8,2,1
6754774007,0.00010158597751938291,1.0,0.0,353,2,8,2,1
7175344753,5.4835346227487394e-05,0.0,1.0,82,3,115,43,59
7175522235,5.4835346227487394e-05,0.0,1.0,50,5,183,49,207
7181435179,5.4835346227487394e-05,0.0,1.0,35,2,676,92,183
7183314849,5.4835346227487394e-05,0.0,1.0,71,3,424,91,683
1594832154,8.606451851893725e-05,1.0,0.0,36,4,334,45,106
1851579599,8.606451851893725e-05,1.0,0.0,36,4,334,45,106
2498510467,8.606451851893725e-05,1.0,0.0,36,3,334,45,106
4026180070,8.606451851893725e-05,1.0,0.0,36,4,334,45,106
4102117803,8.606451851893725e-05,1.0,0.0,36,3,334,45,106
7193310836,5.4835346227487394e-05,0.0,1.0,81,2,623,129,423
7195609080,0.00037101273408987644,2.0,1.0,78,5,549,129,309
7836645584,0.0001011621312216971,1.0,1.0,26,3,368,90,180
7207550954,5.4835346227487394e-05,0.0,1.0,72,2,944,78,86
7772273773,0.0001414988489184023,1.0,0.0,31,2,4,3,2
7208745338,5.4835346227487394e-05,0.0,1.0,23,2,535,70,101
7210026568,5.4835346227487394e-05,0.0,3.0,59,2,75,43,123
7214117407,5.4835346227487394e-05,0.0,1.0,72,3,944,78,86
7222544228,5.4835346227487394e-05,0.0,2.0,250,2,2,3,3
7223324927,5.4835346227487394e-05,0.0,12.0,78,4,549,129,309
7230618440,5.4835346227487394e-05,0.0,2.0,6,2,530,36,46
7240492495,5.4835346227487394e-05,0.0,3.0,75,7,283,43,143
7252608168,5.4835346227487394e-05,0.0,2.0,59,3,75,43,123
7254948176,5.4835346227487394e-05,0.0,2.0,148,6,50,27,47
1069464409,7.821066187343515e-05,1.0,0.0,148,2,50,27,47
4313397479,0.00015232150067502593,1.0,0.0,15,2,100,56,195
9124869298,8.91317249715316e-05,2.0,12.0,15,18,100,56,195
9511172053,6.516630106331911e-05,1.0,2.0,15,4,100,56,195
9155268123,0.00010019620700372852,1.0,0.0,124,9,85,32,66
7264291498,5.4835346227487394e-05,0.0,1.0,294,3,5,3,2
7266980897,5.4835346227487394e-05,0.0,1.0,27,2,333,60,127
7268637673,5.4835346227487394e-05,0.0,1.0,7,2,549,135,263
